date_parsed,nama_provinsi,tahun,bulan,produksi_padi
2019-06-01,KABUPATEN BOGOR,2019,6,17662.0
2019-07-01,KABUPATEN BOGOR,2019,7,34212.0
2019-08-01,KABUPATEN BOGOR,2019,8,35532.0
2019-09-01,KABUPATEN BOGOR,2019,9,10588.0
2019-10-01,KABUPATEN BOGOR,2019,10,18401.0
2019-11-01,KABUPATEN BOGOR,2019,11,21442.0
2019-12-01,KABUPATEN BOGOR,2019,12,14454.0
2020-01-01,KABUPATEN BOGOR,2020,1,5969.29
2020-02-01,KABUPATEN BOGOR,2020,2,9042.0
2020-03-01,KABUPATEN BOGOR,2020,3,22727.0
2020-04-01,KABUPATEN BOGOR,2020,4,64599.460000000065
2020-05-01,KABUPATEN BOGOR,2020,5,27769.0
2020-06-01,KABUPATEN BOGOR,2020,6,9840.0
2020-07-01,KABUPATEN BOGOR,2020,7,29542.0
2020-08-01,KABUPATEN BOGOR,2020,8,40861.0
2020-09-01,KABUPATEN BOGOR,2020,9,32853.0
2020-10-01,KABUPATEN BOGOR,2020,10,28421.0
2020-11-01,KABUPATEN BOGOR,2020,11,11731.0
2020-12-01,KABUPATEN BOGOR,2020,12,8110.0
2021-01-01,KABUPATEN BOGOR,2021,1,13887.0
2021-02-01,KABUPATEN BOGOR,2021,2,28820.0
2021-03-01,KABUPATEN BOGOR,2021,3,54024.0
2021-04-01,KABUPATEN BOGOR,2021,4,14845.0
2021-05-01,KABUPATEN BOGOR,2021,5,10421.0
2021-06-01,KABUPATEN BOGOR,2021,6,27675.0
2021-07-01,KABUPATEN BOGOR,2021,7,43124.0
2021-08-01,KABUPATEN BOGOR,2021,8,22087.0
2021-09-01,KABUPATEN BOGOR,2021,9,17443.0
2021-10-01,KABUPATEN BOGOR,2021,10,28292.0
2021-11-01,KABUPATEN BOGOR,2021,11,13245.0
2021-12-01,KABUPATEN BOGOR,2021,12,11291.0
2022-01-01,KABUPATEN BOGOR,2022,1,19705.0
2022-02-01,KABUPATEN BOGOR,2022,2,19881.0
2022-03-01,KABUPATEN BOGOR,2022,3,61475.0
2022-04-01,KABUPATEN BOGOR,2022,4,23420.0
2022-05-01,KABUPATEN BOGOR,2022,5,15334.0
2022-06-01,KABUPATEN BOGOR,2022,6,17148.0
2022-07-01,KABUPATEN BOGOR,2022,7,37643.0
2022-08-01,KABUPATEN BOGOR,2022,8,18538.0
2022-09-01,KABUPATEN BOGOR,2022,9,29161.0
2022-10-01,KABUPATEN BOGOR,2022,10,30829.0
2022-11-01,KABUPATEN BOGOR,2022,11,13918.0
2022-12-01,KABUPATEN BOGOR,2022,12,12847.0
2023-01-01,KABUPATEN BOGOR,2023,1,15939.0
2023-02-01,KABUPATEN BOGOR,2023,2,29613.0
2023-03-01,KABUPATEN BOGOR,2023,3,48808.0
2023-04-01,KABUPATEN BOGOR,2023,4,21403.0
2023-05-01,KABUPATEN BOGOR,2023,5,21236.0
2023-06-01,KABUPATEN BOGOR,2023,6,24007.0
2023-07-01,KABUPATEN BOGOR,2023,7,24997.0
2023-08-01,KABUPATEN BOGOR,2023,8,25135.0
2023-09-01,KABUPATEN BOGOR,2023,9,35718.0
2023-10-01,KABUPATEN BOGOR,2023,10,23763.0
2023-11-01,KABUPATEN BOGOR,2023,11,6027.0
2023-12-01,KABUPATEN BOGOR,2023,12,6620.0
2018-01-01,KABUPATEN CIAMIS,2018,1,7780.0
2018-02-01,KABUPATEN CIAMIS,2018,2,19647.0
2018-03-01,KABUPATEN CIAMIS,2018,3,78566.0
2018-04-01,KABUPATEN CIAMIS,2018,4,28560.0
2018-05-01,KABUPATEN CIAMIS,2018,5,20985.0
2018-06-01,KABUPATEN CIAMIS,2018,6,6688.0
2018-07-01,KABUPATEN CIAMIS,2018,7,38643.0
2018-08-01,KABUPATEN CIAMIS,2018,8,49668.0
2018-09-01,KABUPATEN CIAMIS,2018,9,38563.0
2018-10-01,KABUPATEN CIAMIS,2018,10,15968.0
2018-11-01,KABUPATEN CIAMIS,2018,11,7277.0
2018-12-01,KABUPATEN CIAMIS,2018,12,3867.0
2019-01-01,KABUPATEN CIAMIS,2019,1,6740.0
2019-02-01,KABUPATEN CIAMIS,2019,2,5361.0
2019-03-01,KABUPATEN CIAMIS,2019,3,34512.0
2019-04-01,KABUPATEN CIAMIS,2019,4,80662.12000000004
2019-05-01,KABUPATEN CIAMIS,2019,5,23653.0
2019-06-01,KABUPATEN CIAMIS,2019,6,5578.0
2019-07-01,KABUPATEN CIAMIS,2019,7,8974.0
2019-08-01,KABUPATEN CIAMIS,2019,8,36718.0
2019-09-01,KABUPATEN CIAMIS,2019,9,33002.0
2019-10-01,KABUPATEN CIAMIS,2019,10,25823.0
2019-11-01,KABUPATEN CIAMIS,2019,11,7984.0
2019-12-01,KABUPATEN CIAMIS,2019,12,2594.0
2020-01-01,KABUPATEN CIAMIS,2020,1,3311.0
2020-02-01,KABUPATEN CIAMIS,2020,2,864.8199999999999
2020-03-01,KABUPATEN CIAMIS,2020,3,1022.0
2020-04-01,KABUPATEN CIAMIS,2020,4,36545.0
2020-05-01,KABUPATEN CIAMIS,2020,5,66749.0
2020-06-01,KABUPATEN CIAMIS,2020,6,30687.0
2020-07-01,KABUPATEN CIAMIS,2020,7,1873.0
2020-08-01,KABUPATEN CIAMIS,2020,8,11133.0
2020-09-01,KABUPATEN CIAMIS,2020,9,44805.0
2020-10-01,KABUPATEN CIAMIS,2020,10,66627.0
2020-11-01,KABUPATEN CIAMIS,2020,11,15087.0
2020-12-01,KABUPATEN CIAMIS,2020,12,4473.0
2021-01-01,KABUPATEN CIAMIS,2021,1,6409.0
2021-02-01,KABUPATEN CIAMIS,2021,2,27712.0
2021-03-01,KABUPATEN CIAMIS,2021,3,75758.0
2021-04-01,KABUPATEN CIAMIS,2021,4,40100.0
2021-05-01,KABUPATEN CIAMIS,2021,5,17088.0
2021-06-01,KABUPATEN CIAMIS,2021,6,12949.0
2021-07-01,KABUPATEN CIAMIS,2021,7,47931.0
2021-08-01,KABUPATEN CIAMIS,2021,8,32351.0
2021-09-01,KABUPATEN CIAMIS,2021,9,18307.0
2021-10-01,KABUPATEN CIAMIS,2021,10,24964.0
2021-11-01,KABUPATEN CIAMIS,2021,11,5893.0
2021-12-01,KABUPATEN CIAMIS,2021,12,10869.0
2022-01-01,KABUPATEN CIAMIS,2022,1,12569.0
2022-02-01,KABUPATEN CIAMIS,2022,2,10619.0
2022-03-01,KABUPATEN CIAMIS,2022,3,67419.0
2022-04-01,KABUPATEN CIAMIS,2022,4,44122.0
2022-05-01,KABUPATEN CIAMIS,2022,5,14862.0
2022-06-01,KABUPATEN CIAMIS,2022,6,14481.0
