nama_kabupaten_kota,tanggal,forecast
KOTA BANDUNG,2023-01-01,90.3036232706772
KOTA BANDUNG,2023-02-01,276.7146184041343
KOTA BANDUNG,2023-03-01,428.46400665845215
KOTA BANDUNG,2023-04-01,1227.6667238972989
KOTA BANDUNG,2023-05-01,734.3624727745533
KOTA BANDUNG,2023-06-01,258.42599871256607
KOTA BANDUNG,2023-07-01,93.89292702659503
KOTA BANDUNG,2023-08-01,199.1818547521782
KOTA BANDUNG,2023-09-01,655.9838433322218
KOTA BANDUNG,2023-10-01,994.9736496395406
KOTA BANDUNG,2023-11-01,680.2863529416715
KOTA BANDUNG,2023-12-01,226.04884022283812
KOTA BANJAR,2023-01-01,441.50408474470873
KOTA BANJAR,2023-02-01,466.0180357012486
KOTA BANJAR,2023-03-01,6976.50064502727
KOTA BANJAR,2023-04-01,6698.2459699989795
KOTA BANJAR,2023-05-01,3797.2589843037863
KOTA BANJAR,2023-06-01,1435.0574845510976
KOTA BANJAR,2023-07-01,2849.3591526725313
KOTA BANJAR,2023-08-01,3679.5161064617077
KOTA BANJAR,2023-09-01,4474.211580912463
KOTA BANJAR,2023-10-01,3541.7698681004717
KOTA BANJAR,2023-11-01,887.0022223736805
KOTA BANJAR,2023-12-01,454.64867815441806
KOTA BEKASI,2023-01-01,193.8580476018873
KOTA BEKASI,2023-02-01,215.26598414225452
KOTA BEKASI,2023-03-01,316.8447884147157
KOTA BEKASI,2023-04-01,353.26886531499724
KOTA BEKASI,2023-05-01,240.81680719603392
KOTA BEKASI,2023-06-01,105.69813281979759
KOTA BEKASI,2023-07-01,107.61553209982453
KOTA BEKASI,2023-08-01,275.8328470625494
KOTA BEKASI,2023-09-01,251.91910891652446
KOTA BEKASI,2023-10-01,164.67751571482532
KOTA BEKASI,2023-11-01,130.0869467906983
KOTA BEKASI,2023-12-01,169.44213609263653
KOTA BOGOR,2023-01-01,27.379378489163415
KOTA BOGOR,2023-02-01,10.317668196786267
KOTA BOGOR,2023-03-01,13.945668749941774
KOTA BOGOR,2023-04-01,12.026753020986746
KOTA BOGOR,2023-05-01,40.682716247157686
KOTA BOGOR,2023-06-01,33.97640891990421
KOTA BOGOR,2023-07-01,2.9240705201786366
KOTA BOGOR,2023-08-01,13.444631879634965
KOTA BOGOR,2023-09-01,14.59978079776367
KOTA BOGOR,2023-10-01,7.459848211378412
KOTA BOGOR,2023-11-01,13.005940951989224
KOTA BOGOR,2023-12-01,24.491882127058723
KOTA CIMAHI,2023-01-01,29.421585765890388
KOTA CIMAHI,2023-02-01,22.44652272004036
KOTA CIMAHI,2023-03-01,29.593774710453097
KOTA CIMAHI,2023-04-01,36.452097475946346
KOTA CIMAHI,2023-05-01,31.536981666447733
KOTA CIMAHI,2023-06-01,28.488172335105926
KOTA CIMAHI,2023-07-01,24.55224161124273
KOTA CIMAHI,2023-08-01,11.764678209900174
KOTA CIMAHI,2023-09-01,14.522331573889128
KOTA CIMAHI,2023-10-01,23.1567349778434
KOTA CIMAHI,2023-11-01,23.810705767900764
KOTA CIMAHI,2023-12-01,18.404206230019604
KOTA CIREBON,2023-01-01,105.22251784294355
KOTA CIREBON,2023-02-01,85.4142933250771
KOTA CIREBON,2023-03-01,77.7582383301316
KOTA CIREBON,2023-04-01,218.46859127932572
KOTA CIREBON,2023-05-01,120.4468944309829
