id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;bulan;produksi_padi;satuan;tahun
116;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;AGUSTUS;46340;TON GABAH KERING GILING;2018
117;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;SEPTEMBER;36821;TON GABAH KERING GILING;2018
118;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;OKTOBER;7846;TON GABAH KERING GILING;2018
119;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;NOVEMBER;13572;TON GABAH KERING GILING;2018
120;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;DESEMBER;8100;TON GABAH KERING GILING;2018
121;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;JANUARI;9884;TON GABAH KERING GILING;2018
122;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;FEBRUARI;18072;TON GABAH KERING GILING;2018
123;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;MARET;60229;TON GABAH KERING GILING;2018
124;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;APRIL;40767;TON GABAH KERING GILING;2018
125;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;MEI;20468;TON GABAH KERING GILING;2018
126;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;JUNI;20950;TON GABAH KERING GILING;2018
127;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;JULI;53166;TON GABAH KERING GILING;2018
128;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;AGUSTUS;34474;TON GABAH KERING GILING;2018
129;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;SEPTEMBER;17994;TON GABAH KERING GILING;2018
130;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;OKTOBER;15790;TON GABAH KERING GILING;2018
131;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;NOVEMBER;21350;TON GABAH KERING GILING;2018
132;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;DESEMBER;17364;TON GABAH KERING GILING;2018
133;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;JANUARI;9459;TON GABAH KERING GILING;2018
134;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;FEBRUARI;59026;TON GABAH KERING GILING;2018
135;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;MARET;221473;TON GABAH KERING GILING;2018
136;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;APRIL;330083;TON GABAH KERING GILING;2018
137;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;MEI;114508;TON GABAH KERING GILING;2018
138;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;JUNI;90327;TON GABAH KERING GILING;2018
139;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;JULI;99713;TON GABAH KERING GILING;2018
140;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;AGUSTUS;154208;TON GABAH KERING GILING;2018
141;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;SEPTEMBER;214137;TON GABAH KERING GILING;2018
142;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;OKTOBER;48321;TON GABAH KERING GILING;2018
143;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;NOVEMBER;64107;TON GABAH KERING GILING;2018
144;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;DESEMBER;9370;TON GABAH KERING GILING;2018
145;32;JAWA BARAT;3213;KABUPATEN SUBANG;JANUARI;17477;TON GABAH KERING GILING;2018
146;32;JAWA BARAT;3213;KABUPATEN SUBANG;FEBRUARI;57643;TON GABAH KERING GILING;2018
147;32;JAWA BARAT;3213;KABUPATEN SUBANG;MARET;138441;TON GABAH KERING GILING;2018
148;32;JAWA BARAT;3213;KABUPATEN SUBANG;APRIL;142378;TON GABAH KERING GILING;2018
